,mass A,,,,
t,x,y,θ,frame,
5.992,372.2,-72.58,-11.0,359
6.009,367.2,-98.37,-15.0,360
6.026,359.3,-122.7,-18.9,361
6.042,351.4,-145.3,-22.5,362
6.059,342.2,-166.6,-26.0,363
6.076,332.1,-185.5,-29.2,364
6.093,322.6,-202.9,-32.2,365
6.109,312.6,-218.1,-34.9,366
6.126,303.7,-230.9,-37.2,367
6.143,295.2,-241.7,-39.3,368
6.159,287.7,-250.4,-41.0,369
6.176,281.7,-257.0,-42.4,370
6.193,276.8,-262.7,-43.5,371
6.209,273.9,-265.3,-44.1,372
6.226,272.3,-266.8,-44.4,373
6.243,272.6,-266.3,-44.3,374
6.259,274.6,-264.0,-43.9,375
6.276,278.2,-259.9,-43.1,376
6.293,283.4,-254.4,-41.9,377
6.310,289.9,-246.8,-40.4,378
6.326,297.9,-237.6,-38.6,379
6.343,306.4,-225.8,-36.4,380
6.360,316.0,-212.1,-33.9,381
6.376,325.8,-196.0,-31.0,382
6.393,335.8,-178.3,-28.0,383
6.410,345.5,-159.2,-24.7,384
6.426,354.0,-137.8,-21.3,385
6.443,362.5,-114.7,-17.6,386
6.460,369.1,-90.62,-13.8,387
6.476,374.6,-64.23,-9.7,388
6.493,376.9,-36.37,-5.5,389
6.510,379.3,-10.30,-1.6,390
6.527,378.3,17.26,2.6,391
6.543,376.0,44.55,6.8,392
6.560,371.3,71.01,10.8,393
6.577,364.8,96.93,14.9,394
6.593,356.9,120.7,18.7,395
6.610,349.1,143.8,22.4,396
6.627,339.2,164.6,25.9,397
6.643,328.7,184.0,29.2,398
6.660,317.6,201.5,32.4,399
6.677,307.7,216.8,35.2,400
6.693,296.9,229.7,37.7,401
6.710,287.8,240.5,39.9,402
6.727,279.1,249.4,41.8,403
6.744,272.8,256.7,43.3,404
6.760,267.4,261.5,44.4,405
6.777,264.0,265.3,45.1,406
6.794,261.8,266.6,45.5,407
6.810,262.1,266.6,45.5,408
6.827,263.9,264.7,45.1,409
6.844,267.6,261.4,44.3,410
6.860,272.3,256.0,43.2,411
6.877,279.1,249.6,41.8,412
6.894,286.6,240.6,40.0,413
6.910,295.2,230.7,38.0,414
6.927,304.4,218.1,35.6,415
6.944,314.8,204.1,33.0,416
6.961,324.5,187.5,30.0,417
6.977,335.2,169.6,26.8,418
6.994,344.9,149.7,23.5,419
7.011,354.1,128.1,19.9,420
7.027,361.7,104.3,16.1,421
7.044,368.4,80.00,12.3,422
7.061,373.4,54.25,8.3,423
7.077,377.3,27.98,4.2,424
7.094,378.0,0.935,0.1,425
7.111,377.1,-25.40,-3.9,426
7.127,375.3,-52.61,-8.0,427
7.144,371.6,-78.25,-11.9,428
7.161,365.0,-103.1,-15.8,429
7.178,358.5,-126.0,-19.4,430
7.194,349.9,-148.5,-23.0,431
7.211,341.3,-167.7,-26.2,432
7.228,331.8,-186.3,-29.3,433
7.244,322.5,-202.2,-32.1,434
7.261,313.2,-216.8,-34.7,435
7.278,304.9,-228.9,-36.9,436
7.294,296.8,-239.6,-38.9,437
